S.no,Movie,Year,Rating
1,The Shawshank Redemption,(1994),9.2
2,The Godfather,(1972),9.2
3,The Godfather: Part II,(1974),9.0
4,The Dark Knight,(2008),9.0
5,12 Angry Men,(1957),8.9
6,Schindler's List,(1993),8.9
7,The Lord of the Rings: The Return of the King,(2003),8.9
8,Pulp Fiction,(1994),8.9
9,"Il buono, il brutto, il cattivo",(1966),8.8
10,Fight Club,(1999),8.8
11,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8
12,Avengers: Endgame,(2019),8.7
13,Forrest Gump,(1994),8.7
14,Star Wars: Episode V - The Empire Strikes Back,(1980),8.7
15,Inception,(2010),8.7
16,The Lord of the Rings: The Two Towers,(2002),8.7
17,One Flew Over the Cuckoo's Nest,(1975),8.7
18,Goodfellas,(1990),8.7
19,The Matrix,(1999),8.6
20,Shichinin no samurai,(1954),8.6
21,Se7en,(1995),8.6
22,Cidade de Deus,(2002),8.6
23,Star Wars,(1977),8.6
24,The Silence of the Lambs,(1991),8.6
25,It's a Wonderful Life,(1946),8.6
26,La vita è bella,(1997),8.6
27,Sen to Chihiro no kamikakushi,(2001),8.5
28,Saving Private Ryan,(1998),8.5
29,The Usual Suspects,(1995),8.5
30,Léon,(1994),8.5
31,The Green Mile,(1999),8.5
32,Interstellar,(2014),8.5
33,Psycho,(1960),8.5
34,American History X,(1998),8.5
35,City Lights,(1931),8.5
36,Casablanca,(1942),8.5
37,Once Upon a Time in the West,(1968),8.5
38,The Pianist,(2002),8.5
39,Modern Times,(1936),8.5
40,The Intouchables,(2011),8.5
41,The Departed,(2006),8.5
42,Back to the Future,(1985),8.5
43,Terminator 2: Judgment Day,(1991),8.5
44,Whiplash,(2014),8.5
45,The Lion King,(1994),8.5
46,Rear Window,(1954),8.5
47,Raiders of the Lost Ark,(1981),8.5
48,Gladiator,(2000),8.5
49,The Prestige,(2006),8.5
50,Apocalypse Now,(1979),8.4
51,Memento,(2000),8.4
52,Alien,(1979),8.4
53,Spider-Man: Into the Spider-Verse,(2018),8.4
54,Hotaru no haka,(1988),8.4
55,Nuovo Cinema Paradiso,(1988),8.4
56,The Great Dictator,(1940),8.4
57,Sunset Blvd.,(1950),8.4
58,The Lives of Others,(2006),8.4
59,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),8.4
60,Avengers: Infinity War,(2018),8.4
61,Paths of Glory,(1957),8.4
62,Django Unchained,(2012),8.4
63,The Shining,(1980),8.4
64,WALL·E,(2008),8.4
65,Mononoke-hime,(1997),8.4
66,Witness for the Prosecution,(1957),8.4
67,Oldeuboi,(2003),8.3
68,Aliens,(1986),8.3
69,The Dark Knight Rises,(2012),8.3
70,American Beauty,(1999),8.3
71,Once Upon a Time in America,(1984),8.3
72,Coco,(2017),8.3
73,Das Boot,(1981),8.3
74,Citizen Kane,(1941),8.3
75,Braveheart,(1995),8.3
76,Vertigo,(1958),8.3
77,North by Northwest,(1959),8.3
78,Reservoir Dogs,(1992),8.3
79,Kimi no na wa.,(2016),8.3
80,Star Wars: Episode VI - Return of the Jedi,(1983),8.3
81,M - Eine Stadt sucht einen Mörder,(1931),8.3
82,Amadeus,(1984),8.3
83,Requiem for a Dream,(2000),8.3
84,Dangal,(2016),8.3
85,3 Idiots,(2009),8.3
86,2001: A Space Odyssey,(1968),8.3
87,Toy Story,(1995),8.3
88,Taare Zameen Par,(2007),8.3
89,Eternal Sunshine of the Spotless Mind,(2004),8.3
90,Lawrence of Arabia,(1962),8.3
91,A Clockwork Orange,(1971),8.3
92,Singin' in the Rain,(1952),8.3
93,Amélie,(2001),8.3
94,Double Indemnity,(1944),8.3
95,Inglourious Basterds,(2009),8.3
96,Taxi Driver,(1976),8.3
97,Full Metal Jacket,(1987),8.3
98,To Kill a Mockingbird,(1962),8.3
99,Ladri di biciclette,(1948),8.3
100,The Kid,(1921),8.3
101,Good Will Hunting,(1997),8.3
102,The Sting,(1973),8.3
103,Jagten,(2012),8.3
104,Toy Story 3,(2010),8.3
105,Snatch,(2000),8.3
106,Scarface,(1983),8.2
107,Per qualche dollaro in più,(1965),8.2
108,The Apartment,(1960),8.2
109,Metropolis,(1927),8.2
110,Monty Python and the Holy Grail,(1975),8.2
111,L.A. Confidential,(1997),8.2
112,Jodaeiye Nader az Simin,(2011),8.2
113,Indiana Jones and the Last Crusade,(1989),8.2
114,Up,(2009),8.2
115,Rashômon,(1950),8.2
116,All About Eve,(1950),8.2
117,Batman Begins,(2005),8.2
118,Some Like It Hot,(1959),8.2
119,Yôjinbô,(1961),8.2
120,Der Untergang,(2004),8.2
121,Unforgiven,(1992),8.2
122,Die Hard,(1988),8.2
123,Heat,(1995),8.2
124,The Treasure of the Sierra Madre,(1948),8.2
125,Incendies,(2010),8.2
126,Green Book,(2018),8.2
127,Ikiru,(1952),8.2
128,Raging Bull,(1980),8.2
129,The Great Escape,(1963),8.2
130,Bacheha-Ye aseman,(1997),8.2
131,Pan's Labyrinth,(2006),8.2
132,Chinatown,(1974),8.2
133,Tonari no Totoro,(1988),8.2
134,Babam ve Oglum,(2005),8.2
135,The Third Man,(1949),8.2
136,Hauru no ugoku shiro,(2004),8.2
137,Ran,(1985),8.2
138,Judgment at Nuremberg,(1961),8.2
139,El secreto de sus ojos,(2009),8.2
140,The Gold Rush,(1925),8.2
141,The Bridge on the River Kwai,(1957),8.2
142,A Beautiful Mind,(2001),8.2
143,"Lock, Stock and Two Smoking Barrels",(1998),8.2
144,Casino,(1995),8.2
145,Det sjunde inseglet,(1957),8.1
146,"Three Billboards Outside Ebbing, Missouri",(2017),8.1
147,On the Waterfront,(1954),8.1
148,The Wolf of Wall Street,(2013),8.1
149,The Elephant Man,(1980),8.1
150,Inside Out,(2015),8.1
151,V for Vendetta,(2005),8.1
152,Mr. Smith Goes to Washington,(1939),8.1
153,Room,(2015),8.1
154,Warrior,(2011),8.1
155,Blade Runner,(1982),8.1
156,Dial M for Murder,(1954),8.1
157,No Country for Old Men,(2007),8.1
158,There Will Be Blood,(2007),8.1
159,Andhadhun,(2018),8.1
160,Smultronstället,(1957),8.1
161,The General,(1926),8.1
162,The Sixth Sense,(1999),8.1
163,Trainspotting,(1996),8.1
164,Gone with the Wind,(1939),8.1
165,The Thing,(1982),8.1
166,Fargo,(1996),8.1
167,Idi i smotri,(1985),8.1
168,Gran Torino,(2008),8.1
169,Finding Nemo,(2003),8.1
170,The Deer Hunter,(1978),8.1
171,Shutter Island,(2010),8.1
172,The Big Lebowski,(1998),8.1
173,Kill Bill: Vol. 1,(2003),8.1
174,Sherlock Jr.,(1924),8.1
175,Cool Hand Luke,(1967),8.1
176,Tôkyô monogatari,(1953),8.1
177,Mary and Max,(2009),8.1
178,Rebecca,(1940),8.1
179,Hacksaw Ridge,(2016),8.1
180,How to Train Your Dragon,(2010),8.1
181,Jurassic Park,(1993),8.1
182,Gone Girl,(2014),8.1
183,Relatos salvajes,(2014),8.1
184,The Truman Show,(1998),8.1
185,Sunrise: A Song of Two Humans,(1927),8.1
186,Stalker,(1979),8.1
187,The Grand Budapest Hotel,(2014),8.1
188,In the Name of the Father,(1993),8.1
189,Stand by Me,(1986),8.1
190,Into the Wild,(2007),8.1
191,It Happened One Night,(1934),8.1
192,Platoon,(1986),8.1
193,Network,(1976),8.1
194,Salinui chueok,(2003),8.1
195,Life of Brian,(1979),8.1
196,Ben-Hur,(1959),8.1
197,Persona,(1966),8.1
198,12 Years a Slave,(2013),8.1
199,Hotel Rwanda,(2004),8.1
200,Million Dollar Baby,(2004),8.1
201,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",(1997),8.1
202,Before Sunrise,(1995),8.1
203,Eskiya,(1996),8.1
204,Prisoners,(2013),8.1
205,Mad Max: Fury Road,(2015),8.1
206,Le salaire de la peur,(1953),8.1
207,Rush,(2013),8.1
208,Hachi: A Dog's Tale,(2009),8.1
209,Andrei Rublev,(1966),8.1
210,Les quatre cents coups,(1959),8.1
211,Logan,(2017),8.1
212,La passion de Jeanne d'Arc,(1928),8.1
213,Spotlight,(2015),8.1
214,Catch Me If You Can,(2002),8.1
215,Amores perros,(2000),8.1
216,Harry Potter and the Deathly Hallows: Part 2,(2011),8.1
217,Kaze no tani no Naushika,(1984),8.1
218,The Princess Bride,(1987),8.0
219,Rocky,(1976),8.0
220,Barry Lyndon,(1975),8.0
221,Butch Cassidy and the Sundance Kid,(1969),8.0
222,Rang De Basanti,(2006),8.0
223,"Monsters, Inc.",(2001),8.0
224,The Grapes of Wrath,(1940),8.0
225,Dead Poets Society,(1989),8.0
226,The Maltese Falcon,(1941),8.0
227,Da hong deng long gao gao gua,(1991),8.0
228,The Terminator,(1984),8.0
229,Ah-ga-ssi,(2016),8.0
230,Gandhi,(1982),8.0
231,La haine,(1995),8.0
232,Donnie Darko,(2001),8.0
233,Faa yeung nin wa,(2000),8.0
234,Les diaboliques,(1955),8.0
235,Groundhog Day,(1993),8.0
236,The Help,(2011),8.0
237,The Wizard of Oz,(1939),8.0
238,Jaws,(1975),8.0
239,Guardians of the Galaxy,(2014),8.0
240,Before Sunset,(2004),8.0
241,"Paris, Texas",(1984),8.0
242,Tenkû no shiro Rapyuta,(1986),8.0
243,Le notti di Cabiria,(1957),8.0
244,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0
245,Beauty and the Beast,(1991),8.0
246,The Exorcist,(1973),8.0
247,The Best Years of Our Lives,(1946),8.0
248,Trois couleurs: Rouge,(1994),8.0
2